TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2032696	AT1G73080	AT1G73080.1	protein_coding	Encodes a leucine-rich repeat receptor kinase.  Functions as a receptor for AtPep1 to amplify innate immunity response to pathogen attacks. The mRNA is cell-to-cell mobile.	ATPEPR1; PEP1 RECEPTOR 1; PEPR1	 plasma membrane, plasmodesma, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guanylate cyclase activity, guard cell, hypocotyl, immune response, inflorescence meristem, innate immune response, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, peptide receptor activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, protein binding, protein phosphorylation, protein serine/threonine kinase activity, response to jasmonic acid, response to wounding, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2034724	AT1G12460	AT1G12460.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 chloroplast, plasma membrane, ATP binding, carpel, chloroplast, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, integral component of membrane, kinase activity, mature plant embryo stage, membrane, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, seed, sepal, shoot apex	true
Gene:2043539	AT2G25790	AT2G25790.1	protein_coding	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)	SKM1; STERILITY-REGULATING KINASE MEMBER 1	 plasma membrane, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein binding, protein kinase activity, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2093899	AT3G15890	AT3G15890.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 nucleus, plasma membrane, cultured plant cell, ATP binding, LP.04 four leaves visible stage, LP.06 six leaves visible stage, carpel, cauline leaf, collective leaf structure, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, mature plant embryo stage, non-membrane spanning protein tyrosine kinase activity, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, root, seed, sepal, shoot apex, transmembrane receptor protein serine/threonine kinase activity, vascular leaf	true
Gene:2096208	AT3G05140	AT3G05140.1	protein_coding	ROP binding protein kinases 2;(source:Araport11)	RBK2; ROP BINDING PROTEIN KINASES 2	 nucleus, cultured plant cell, ATP binding, GTPase binding, L mature pollen stage, M germinated pollen stage, collective leaf structure, cultured plant cell, cytoplasm, flower, flowering stage, nucleus, plasma membrane, pollen, pollen tube cell, protein kinase activity, protein phosphorylation, root, sepal, shoot apex, transmembrane receptor protein serine/threonine kinase activity	true
Gene:2078545	AT3G42880	AT3G42880.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)	POLLEN RECEPTOR LIKE KINASE 3; PRK3	 extracellular region, plasmodesma, ATP binding, L mature pollen stage, M germinated pollen stage, extracellular region, flower, flowering stage, integral component of membrane, kinase activity, plasmodesma, pollen, pollen tube cell, protein binding, protein phosphorylation, protein serine/threonine kinase activity, regulation of pollen tube growth	true
Gene:2082394	AT3G06110	AT3G06110.1	protein_coding	Encodes a nuclear-localized MAP kinase phosphatase. Plants with reduced levels of MKP2 transcripts are hypersensitive to ozone and ozone-mediated activation of MPK3 and MPK6 is prolonged in these plants.	ARABIDOPSIS MAPK PHOSPHATASE 2; ATMKP2; DSPTP1B; DUAL-SPECIFICITY PROTEIN PHOSPHATASE 1B; MAPK PHOSPHATASE 2; MKP2	 cytoplasm, plasma membrane, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase phosphatase activity, NOT calmodulin binding, carpel, cauline leaf, cellular response to oxidative stress, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, modulation by symbiont of host defense-related programmed cell death, negative regulation of MAP kinase activity, negative regulation of plant-type hypersensitive response, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein binding, protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity, response to oxidative stress, response to ozone, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2119895	AT4G29180	AT4G29180.1	protein_coding	root hair specific 16;(source:Araport11)	RHS16; ROOT HAIR SPECIFIC 16	 extracellular region, ATP binding, extracellular region, integral component of membrane, kinase activity, phosphorylation, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root hair cell, trichoblast	false
Gene:2157716	AT5G50180	AT5G50180.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2160558	AT5G63650	AT5G63650.1	protein_coding	encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.	SNF1-RELATED PROTEIN KINASE 2.5; SNF1-RELATED PROTEIN KINASE 2H; SNRK2-5; SNRK2.5; SRK2H	 nucleus, ATP binding, carpel, cauline leaf, collective leaf structure, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, kinase activity, leaf apex, mRNA binding, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein phosphorylation, protein serine/threonine kinase activity, response to osmotic stress, response to salt stress, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, vascular leaf, vascular leaf senescent stage	true
Gene:2160790	AT5G63930	AT5G63930.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 plasma membrane, ATP binding, LP.04 four leaves visible stage, carpel, chloroplast, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	false
Gene:2138916	AT4G04740	AT4G04740.1	protein_coding	member of Calcium Dependent Protein Kinase	ATCPK23; CALCIUM-DEPENDENT PROTEIN KINASE 23; CPK23	 plasma membrane, response to cadmium ion, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, membrane, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, plasma membrane, protein autophosphorylation, protein binding, protein kinase activity, protein phosphatase binding, protein phosphorylation, response to cadmium ion, root, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	false
Gene:2141746	AT4G38740	AT4G38740.1	protein_coding	Encodes cytosolic cyclophilin ROC1.	ROC1; ROTAMASE CYP 1	 cytoplasm, cytosol, plasma membrane, response to cadmium ion, apoplast, fruit, seed, cotyledon, vascular leaf, cultured plant cell, seedling development stage, pollen, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, apoplast, blue light signaling pathway, brassinosteroid mediated signaling pathway, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cyclosporin A binding, cytoplasm, cytosol, de-etiolation, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, peptidyl-prolyl cis-trans isomerase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type hypersensitive response, plasma membrane, pollen, pollen tube cell, protein peptidyl-prolyl isomerization, protein refolding, red, far-red light phototransduction, regulation of protein phosphorylation, response to cadmium ion, response to cytokinin, response to light stimulus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, signal transduction, stamen, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2183905	AT5G13290	AT5G13290.1	protein_coding	Encodes a protein with predicted Ser/Thr kinase activity and membrane localization that is involved in the CLV3 signaling pathway that represses WUS expression in the meristem. Loss of function of CRN can suppress the phenotype caused by overexpression of CLV3. SOL2 isolated as a suppressor of root- specific overexpression of CLE19, a clavata3 like gene. sol2 partially suppresses the short root phenotype caused  by CLE19 overexpression. Mutant flowers have extra carpels.	CORYNE; CRN; SOL2; SUPPRESSOR OF LLP1 2	 mitochondrion, plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, NOT protein kinase activity, carpel primordium, cauline leaf, collective leaf structure, defense response, defense response to bacterium, defense response to oomycetes, flower, flower meristem, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf lamina base, mature plant embryo stage, meristem maintenance, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, portion of vascular tissue, protein binding, protein phosphorylation, receptor serine/threonine kinase binding, regulation of flower development, regulation of meristem growth, regulation of root meristem growth, root, root apical meristem, seed, sepal, shoot apex, shoot system, signaling receptor binding, stamen, stamen primordium, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage, vegetative shoot apical meristem	true
Gene:2019366	AT1G29740	AT1G29740.1	protein_coding	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)		 chloroplast, chloroplast, kinase activity, phosphorylation, plasma membrane, protein autophosphorylation, protein serine/threonine kinase activity	false
Gene:2019937	AT1G10620	AT1G10620.1	protein_coding	Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807).	ATPERK11; PERK11; PROLINE-RICH EXTENSIN-LIKE RECEPTOR KINASE 11	 nucleus, ATP binding, L mature pollen stage, M germinated pollen stage, flower, flowering stage, integral component of membrane, nucleus, phosphorylation, plasma membrane, pollen, pollen tube cell, protein phosphorylation, sepal, transmembrane receptor protein serine/threonine kinase activity	false
Gene:2020607	AT1G70110	AT1G70110.1	protein_coding	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)	L-TYPE LECTIN RECEPTOR KINASE V.1; LECRK-V.1	 ATP binding, carbohydrate binding, defense response, defense response to bacterium, defense response to oomycetes, integral component of membrane, kinase activity, plasma membrane, protein phosphorylation, transmembrane receptor protein serine/threonine kinase activity	false
Gene:2024516	AT1G64210	AT1G64210.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 ATP binding, flower, identical protein binding, integral component of membrane, kinase activity, mitochondrion, petal differentiation and expansion stage, plasma membrane, protein binding, protein kinase activity, protein phosphorylation	false
Gene:2076680	AT3G57720	AT3G57720.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)	ZRK2	 ATP binding, phosphorylation, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity	true
Gene:2082358	AT3G01840	AT3G01840.1	protein_coding	Encodes a putative LysM-containing receptor-like kinase.  Induction of chitin-responsive genes by chitin treatment is not blocked in the mutant. Based on protein sequence alignment analysis, it was determined to be a pseudo kinase since lack of the ATP-binding P-loop in the kinase domain.	LYK2; LYSM-CONTAINING RECEPTOR-LIKE KINASE 2	 chloroplast, ATP binding, carpel, chloroplast, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, integral component of membrane, petal, petal differentiation and expansion stage, phosphorylation, plant embryo, plant embryo globular stage, plasma membrane, pollen, protein kinase activity, protein phosphorylation, root, sepal, shoot apex	false
Gene:2122238	AT4G36180	AT4G36180.1	protein_coding	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)		 plasma membrane, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	false
Gene:2163664	AT5G51350	AT5G51350.1	protein_coding	Encodes a receptor-like kinase that represses secondary growth, the production of secondary vascular tissues.	MOL1; MORE LATERAL GROWTH1	 plasma membrane, protein phosphorylation, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cambium, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of secondary growth, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, receptor serine/threonine kinase binding, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2177017	AT5G12090	AT5G12090.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 nucleus, ATP binding, activation of protein kinase activity, cytoplasm, nucleus, phosphorylation, protein serine/threonine kinase activity, signal transduction by protein phosphorylation, stress-activated protein kinase signaling cascade	false
Gene:2827825	AT2G17890	AT2G17890.1	protein_coding	Encodes a member of Calcium Dependent Protein Kinase. Protein is N-myristoylated. Localizes to the plasma membrane. Localizes to the chloroplast when the myristoylation motif is mutated.	ATCDPK16; CALCIUM-DEPENDENT PROTEIN KINASE 16; CDPK16; CPK16	 plasma membrane, ATP binding, L mature pollen stage, M germinated pollen stage, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, collective leaf structure, cytoplasm, flower, flowering stage, intracellular signal transduction, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein autophosphorylation, protein kinase activity, root, sepal, stamen	false
Gene:3439162	AT4G31390	AT4G31390.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)	ABC1-LIKE KINASE 1; ABC1-LIKE KINASE RELATED TO CHLOROPHYLL DEGRADATION AND OXIDATIVE STRESS 1; ABC1K1; ACDO1; ATACDO1; PGR6; PROTON GRADIENT REGULATION 6	 chloroplast, plastoglobule, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to nitrogen starvation, chlorophyll catabolic process, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, photosynthetic electron transport chain, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastoglobule, plastoglobule organization, pollen, positive regulation of carotenoid biosynthetic process, positive regulation of chlorophyll biosynthetic process, protein binding, protein kinase activity, protein phosphorylation, regulation of anthocyanin biosynthetic process, regulation of photosynthesis, regulation of tocopherol cyclase activity, response to blue light, response to paraquat, response to photooxidative stress, response to red light, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, thylakoid membrane organization, vascular leaf, vascular leaf senescent stage	true
Gene:3687913	AT1G70450	AT1G70450.1	protein_coding	Its expression is enriched in root hair cells (compared to non-root hair cells) and this enrichment is associated with increase in the transcription-associated mark trimethylation of H3 lysine 4 (H3K4me3) and decrease in the Polycomb silencing-associated mark trimethylation of H3 lysine 27 (H3K27me3) in root hair cells relative to non-root hair cells.		 ATP binding, phosphorylation, plasma membrane, protein phosphorylation, root hair cell, transmembrane receptor protein serine/threonine kinase activity	false
Gene:1005714329	AT4G32250	AT4G32250.2	protein_coding	Encodes a component of the TOC machinery that phosphorylates import receptors, supports pre-protein import, and contributes to efficient chloroplast biogenesis.	KINASE OF THE OUTER CHLOROPLAST MEMBRANE 1; KOC1	 chloroplast, cytoplasm, plant callus, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Toc complex, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, de-etiolation, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of chloroplast outer membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plastid, pollen, positive regulation of protein import into chloroplast stroma, protein kinase activity, protein phosphorylation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1005715715	AT1G49340	AT1G49340.2	protein_coding	Encodes a phosphatidylinositol 4-kinase that is expressed in inflorescences and shoots.	ATPI4K ALPHA	 cytoplasm, plasma membrane, plasmodesma, 1-phosphatidylinositol 4-kinase activity, L mature pollen stage, M germinated pollen stage, NOT phosphatidylinositol-3,4-bisphosphate binding, NOT phosphatidylinositol-3-phosphate binding, actin filament binding, cytoplasm, flower, guard cell, membrane, nucleus, perinuclear region of cytoplasm, phosphatidic acid binding, phosphatidylinositol phosphorylation, phosphatidylinositol-4,5-bisphosphate binding, phosphatidylinositol-4-phosphate binding, phosphatidylinositol-mediated signaling, plasma membrane, plasmodesma, pollen, pollen tube cell, protein phosphorylation, rosette leaf, shoot system	true
Gene:1006228315	AT2G17220	AT2G17220.2	protein_coding	Encodes a putative serine/threonine-specific protein kinase kin3. Protein is N-myristoylated.	KIN3; KINASE 3	 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chloroplast, carpel, cauline leaf, collective leaf structure, cotyledon, defense response, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1006229554	AT1G13460	AT1G13460.2	protein_coding	Encodes protein phosphatase 2A (PP2A) B'theta subunit.  Targeted to peroxisomes.		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, M germinated pollen stage, brassinosteroid mediated signaling pathway, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of brassinosteroid mediated signaling pathway, nucleus, peroxisome, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, positive regulation of fatty acid beta-oxidation, protein binding, protein dephosphorylation, protein phosphatase activator activity, protein phosphatase type 2A complex, regulation of protein autophosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1006229697	AT1G07570	AT1G07570.2	protein_coding	Protein kinase capable of phosphorylating tyrosine, serine, and threonine residues	APK1; APK1A	 plasma membrane, ATP binding, LP.04 four leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, defense response, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, seed, sepal, shoot apex, shoot system, stamen, vascular leaf	true
Gene:4010712232	AT2G17530	AT2G17530.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein phosphorylation, protein serine/threonine kinase activity, regulation of gene expression, regulation of mRNA processing, root, seed, sepal, shoot apex, shoot system, spliceosomal complex assembly, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:5019473908	AT1G18390	AT1G18390.2	protein_coding	Serine/Threonine kinase family catalytic domain protein;(source:Araport11)	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR- LIKE PROTEIN KINASE-LIKE 1.2; LRK10L1.2	 chloroplast, cellular response to water deprivation, photoperiodism, flowering, cellular response to abscisic acid stimulus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to abscisic acid stimulus, cellular response to water deprivation, chloroplast, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, photoperiodism, flowering, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, polysaccharide binding, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	false
Gene:6530298080	AT5G62230	AT5G62230.2	protein_coding	Encodes a receptor-like kinase that, together with ER and ERL2 governs the initial decision of protodermal cells to either divide proliferatively to produce pavement cells or divide asymmetrically to generate stomatal complexes. It is important for maintaining stomatal stem cell activity and preventing terminal differentiation of the meristemoid into the guard mother cell. Along with erl2 functionally compensates for loss of erecta during integument development. Its transcript levels change after inducing MUTE expression in a mute background.	ERECTA-LIKE 1; ERL1	 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, embryo sac development, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, membrane, ovary wall, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant ovule development, plasma membrane, pollen, protein binding, protein phosphorylation, protein serine/threonine kinase activity, receptor serine/threonine kinase binding, root, seed, sepal, shoot apex, shoot system, signaling receptor binding, stamen, stomatal complex morphogenesis, vascular leaf, vascular leaf senescent stage	true
Gene:6030077183	SCAFFOLD_403268.1	SCAFFOLD_403268.1.1	protein_coding			 ATP binding, binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
